,Medal,Beer Name,Brewery,City,State,Category,Year
0,Gold,A Creator's Calling,The Lost Abbey,San Marcos,CA,Aged Beer,2019
1,Silver,Belgian Quad,Green Mountain Beer Co.,Lakewood,CO,Aged Beer,2019
2,Bronze,Mob Barley,Meadowlark Brewing,Sidney,MT,Aged Beer,2019
3,Gold,Wit-Tington,Central District Brewing,Austin,TX,American-Belgo-Style Ale,2019
4,Silver,Tank 7 Farmhouse Ale,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2019
5,Bronze,White Rainbow,Red Rock Brewery - Production,Salt Lake City,UT,American-Belgo-Style Ale,2019
6,Gold,Märzen,Sudwerk Brewing Co.,Davis,CA,American-Style Amber Lager,2019
7,Silver,Oktoberfest,Huss Brewing Co.,Tempe,AZ,American-Style Amber Lager,2019
8,Bronze,Grist Maerzen,Grist Brewing Co.,Highlands Ranch,CO,American-Style Amber Lager,2019
9,Gold,Diablo Rojo,Boneyard Beer,Bend,OR,American-Style Amber/Red Ale,2019
10,Silver,1890 Founder's Ale,Grayton Beer Co.,Santa Rosa Beach,FL,American-Style Amber/Red Ale,2019
11,Bronze,Red Alert,Aftershock Brewing Co.,Temecula,CA,American-Style Amber/Red Ale,2019
12,Gold,Alpha Force Double Tap,Überbrew,Billings,MT,American-Style Black Ale,2019
13,Silver,Bowie Knife,Thunderhawk Alements,San Diego,CA,American-Style Black Ale,2019
14,Bronze,Turmoil,Barley Brown's Beer,Baker City,OR,American-Style Black Ale,2019
15,Gold,Naked Sunbather,Mad Swede Brewing Co.,Boise,ID,American-Style Brown Ale,2019
16,Silver,Bull Creek Brown Ale,Springfield Brewing Co.,Springfield,MO,American-Style Brown Ale,2019
17,Bronze,Browner Than Ivan,Chula Vista Brewery,Chula Vista,CA,American-Style Brown Ale,2019
18,Gold,Sea Señor! Mex Lager,SouthNorte Beer Co.,San Diego,CA,American-Style Cream Ale,2019
19,Silver,Los Dudes’ Cerveza Lager Mexicana,The Dudes' Brewing Co.,Torrance,CA,American-Style Cream Ale,2019
20,Bronze,Gold Style,Ballast Point Brewing Co. - Chicago,Chicago,IL,American-Style Cream Ale,2019
21,Gold,Salt River,Historic Brewing Co.,Flagstaff,AZ,American-Style Fruit Beer,2019
22,Silver,Quat,Tampa Bay Brewing Co. - Ybor City,Tampa,FL,American-Style Fruit Beer,2019
23,Bronze,Boom Dynamite,O.H.S.O. Brewery + Distillery,Phoenix,AZ,American-Style Fruit Beer,2019
24,Gold,More Dodge Less RAM,Comrade Brewing Co.,Denver,CO,American-Style India Pale Ale,2019
25,Silver,Radiant Beauty,Green Cheek Beer Co.,Orange,CA,American-Style India Pale Ale,2019
26,Bronze,Weekend Vibes IPA,Coronado Brewing Co. - Production Facility,San Diego,CA,American-Style India Pale Ale,2019
27,Gold,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American-Style Lager or American-Style Pilsener,2019
28,Silver,Valley Beer,Wren House Brewing Co.,Phoenix,AZ,American-Style Lager or American-Style Pilsener,2019
29,Bronze,Schaben's,Thunderhead Brewing Co.,Kearney,NE,American-Style Lager or American-Style Pilsener,2019
30,Gold,Johnny Utah,Georgetown Brewing Co.,Seattle,WA,American-Style Pale Ale,2019
31,Silver,Acclimated APA,La Cumbre Brewing Co.,Albuquerque,NM,American-Style Pale Ale,2019
32,Bronze,Breakside Woodlawn Pale Ale,Breakside Brewery,Portland,OR,American-Style Pale Ale,2019
33,Gold,Low pHunk,MobCraft Beer,Milwaukee,WI,American-Style Sour Ale,2019
34,Silver,Alegria,Millersburg Brewing,Millersburg,OH,American-Style Sour Ale,2019
35,Bronze,Citra Acid Test,Triple C Brewing,Charlotte,NC,American-Style Sour Ale,2019
36,Gold,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2019
37,Silver,Stone Liberty Station Cimmerian Portal,Stone Brewing World Bistro & Gardens - Liberty Station,San Diego,CA,American-Style Stout,2019
